time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
31287,184,4,6412,227.47,315.85170441,623720,0.003,914503.65625,111.8303882598877,-0.07250640280544758,-38563.0115234375
31482,185,4,6451,228.23,317.02215846,627620,0.003,749631.321875,72.9301155090332,-0.1357579179108143,-36912.6837890625
32482,186,4,6652,236.99,327.6137035,647620,0.003,517513.2921875,59.359451103210446,0.4698599614202976,-25840.944921875
32574,187,4,6671,237.58,327.95708638,649460,0.003,506331.6703125,72.82864303588867,0.10833386033773422,-25574.87099609375
32688,188,4,6694,237.83,327.06773974,651740,0.003,473430.5546875,66.38492012023926,0.05411908179521561,-25285.33359375
32781,189,4,6713,237.37,324.75947284,653600,0.003,523792.665625,72.26729049682618,0.008246034011244774,-25635.26904296875
33781,190,4,6917,246.47,336.14795473,673600,0.003,535353.728125,57.52179851531982,0.06951426640152931,-25319.86845703125
33897,191,4,6940,245.77,336.18786295999996,675920,0.003,692576.696875,66.76786460876465,0.12975076586008072,-25369.97431640625
34165,192,4,6995,243.38,335.79199500000004,681280,0.003,929715.690625,84.66118774414062,-0.28228434175252914,-28432.86484375
34736,193,4,7112,248.26,340.42295943000005,692700,0.003,576575.9890625,67.52861862182617,-0.04939685948193073,-30009.12890625
34863,194,4,7138,248.19,340.05086021000005,695240,0.003,1151826.334375,152.27676010131836,-0.37328868433833123,-34513.9287109375
35863,195,4,7341,256.84,350.31223470000003,715240,0.003,1154591.309375,93.9175651550293,-0.1462103821337223,-45419.4298828125
36556,196,4,7478,262.36,357.2895506600001,729100,0.003,673655.21875,69.74057693481446,-0.5827427163720131,-34628.191796875
37318,197,4,7633,269.53,365.28793181000003,744340,0.003,504998.553125,70.7495361328125,-0.01849084496498108,-30038.755859375
38318,198,4,7838,278.28,374.32044922,764340,0.003,977617.203125,74.84908142089844,0.1430292472243309,-29152.92763671875
38354,199,4,7845,277.8,374.2629920500001,765060,0.003,747177.8109375,76.80911369323731,-0.08928351476788521,-29680.15712890625
38447,200,4,7865,276.58,373.2224428500001,766920,0.003,650282.11875,75.86984634399414,0.9325419247150422,-29829.81748046875
38707,201,4,7918,278.42,376.95852441000005,772120,0.003,594347.846875,51.525296211242676,-0.09841500110924244,-26875.5572265625
38859,202,4,7950,277.53,375.74793972,775160,0.003,749329.0734375,73.21587982177735,-0.4785304941236973,-26639.740625
39312,203,4,8042,274.51,374.43435143999994,784220,0.003,839140.26875,65.58883209228516,0.10963412001729012,-29078.38564453125
