time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss
2,4.092339849999999,2012,5979,171,13.93,0.06392684578895569,0.03,117560,-0.7172876596450806,-38.65541076660156,19.253637170791627
2,4.1128642399999995,2018,5997,172,13.93,0.061176203191280365,0.03,117920,-0.5033337473869324,-40.55210876464844,20.689168787002565
2,4.1634094699999995,2023,6012,173,13.99,0.05900278687477112,0.03,118220,0.4583798050880432,-37.57573699951172,21.31870150566101
2,4.19300013,2028,6026,174,14.03,0.06312825530767441,0.03,118500,1.1715338230133057,-39.02162170410156,19.10124053955078
2,4.25592792,2033,6040,175,14.09,0.0655001550912857,0.03,118780,-2.1423470973968506,-38.38128662109375,22.12047357559204
2,4.362920320000001,2042,6066,176,14.2,0.05285603553056717,0.03,119300,0.8371747732162476,-35.76013946533203,24.823604822158813
2,4.40466094,2046,6080,177,14.24,0.05972425639629364,0.03,119580,1.6783716678619385,-36.513587951660156,20.148292112350465
2,4.5180139100000005,2053,6101,178,14.36,0.058054011315107346,0.03,120000,-0.13220232725143433,-35.44444274902344,22.69418363571167
2,4.589471270000001,2059,6117,179,14.42,0.05635075271129608,0.03,120320,-1.1015739440917969,-43.11024475097656,22.657442474365233
2,4.61278956,2063,6130,180,14.44,0.05582961440086365,0.03,120580,0.8500388860702515,-40.46451187133789,20.032616901397706
2,8.63442699,2127,6320,181,16.25,0.11119352281093597,0.03,124380,-0.3880922496318817,-43.863040924072266,29.12123022079468
2,12.05960293,2178,6475,182,17.67,0.09681934118270874,0.03,127480,-0.10219807922840118,-41.468753814697266,36.125239276885985
2,16.3558864,2247,6685,183,19.66,0.10372002422809601,0.03,131680,-1.7485982179641724,-47.92499923706055,40.21464071273804
2,20.57322865,2313,6881,184,21.52,0.08571605384349823,0.03,135600,0.749835729598999,-48.81494140625,32.33866176605225
